name,base-polysynth-mathsat_cmd,base-polysynth-mathsat-time,base-polysynth-z3_cmd,base-polysynth-z3-time,h1-polysynth-mathsat_cmd,h1-polysynth-mathsat-time,h1-polysynth-z3_cmd,h1-polysynth-z3-time,h2-polysynth-mathsat_cmd,h2-polysynth-mathsat-time,h2-polysynth-z3_cmd,h2-polysynth-z3-time,h12-polysynth-mathsat_cmd,h12-polysynth-mathsat-time,h12-polysynth-z3_cmd,h12-polysynth-z3-time,direct-z3-polysynth-_cmd,direct-z3-polysynth--time,cvc5-polysynth-_cmd,cvc5-polysynth--time
firefly.c.smt2,./PolyQEnt experiments/benchmarks/polysynth/linear/firefly.c.smt2 experiments/configs-base/mathsat/benchmarks/polysynth/linear/firefly.c.smt2.json,994.0,./PolyQEnt experiments/benchmarks/polysynth/linear/firefly.c.smt2 experiments/configs-base/z3/benchmarks/polysynth/linear/firefly.c.smt2.json,1020.0,./PolyQEnt experiments/benchmarks/polysynth/linear/firefly.c.smt2 experiments/configs-h1/mathsat/benchmarks/polysynth/linear/firefly.c.smt2.json,689.0,./PolyQEnt experiments/benchmarks/polysynth/linear/firefly.c.smt2 experiments/configs-h1/z3/benchmarks/polysynth/linear/firefly.c.smt2.json,711.0,./PolyQEnt experiments/benchmarks/polysynth/linear/firefly.c.smt2 experiments/configs-h2/mathsat/benchmarks/polysynth/linear/firefly.c.smt2.json,2921.0,./PolyQEnt experiments/benchmarks/polysynth/linear/firefly.c.smt2 experiments/configs-h2/z3/benchmarks/polysynth/linear/firefly.c.smt2.json,2463.0,./PolyQEnt experiments/benchmarks/polysynth/linear/firefly.c.smt2 experiments/configs-h12/mathsat/benchmarks/polysynth/linear/firefly.c.smt2.json,1217.0,./PolyQEnt experiments/benchmarks/polysynth/linear/firefly.c.smt2 experiments/configs-h12/z3/benchmarks/polysynth/linear/firefly.c.smt2.json,1270.0,./solver/z3 -smt2 experiments/benchmarks/polysynth/linear/firefly.c.smt2,583.0,,
floor_square_root.c.smt2,./PolyQEnt experiments/benchmarks/polysynth/linear/floor_square_root.c.smt2 experiments/configs-base/mathsat/benchmarks/polysynth/linear/floor_square_root.c.smt2.json,235.0,./PolyQEnt experiments/benchmarks/polysynth/linear/floor_square_root.c.smt2 experiments/configs-base/z3/benchmarks/polysynth/linear/floor_square_root.c.smt2.json,243.0,./PolyQEnt experiments/benchmarks/polysynth/linear/floor_square_root.c.smt2 experiments/configs-h1/mathsat/benchmarks/polysynth/linear/floor_square_root.c.smt2.json,226.0,./PolyQEnt experiments/benchmarks/polysynth/linear/floor_square_root.c.smt2 experiments/configs-h1/z3/benchmarks/polysynth/linear/floor_square_root.c.smt2.json,228.0,./PolyQEnt experiments/benchmarks/polysynth/linear/floor_square_root.c.smt2 experiments/configs-h2/mathsat/benchmarks/polysynth/linear/floor_square_root.c.smt2.json,347.0,./PolyQEnt experiments/benchmarks/polysynth/linear/floor_square_root.c.smt2 experiments/configs-h2/z3/benchmarks/polysynth/linear/floor_square_root.c.smt2.json,330.0,./PolyQEnt experiments/benchmarks/polysynth/linear/floor_square_root.c.smt2 experiments/configs-h12/mathsat/benchmarks/polysynth/linear/floor_square_root.c.smt2.json,255.0,./PolyQEnt experiments/benchmarks/polysynth/linear/floor_square_root.c.smt2 experiments/configs-h12/z3/benchmarks/polysynth/linear/floor_square_root.c.smt2.json,287.0,,,,
friction.c.smt2,,,./PolyQEnt experiments/benchmarks/polysynth/linear/friction.c.smt2 experiments/configs-base/z3/benchmarks/polysynth/linear/friction.c.smt2.json,207.0,,,./PolyQEnt experiments/benchmarks/polysynth/linear/friction.c.smt2 experiments/configs-h1/z3/benchmarks/polysynth/linear/friction.c.smt2.json,219.0,,,./PolyQEnt experiments/benchmarks/polysynth/linear/friction.c.smt2 experiments/configs-h2/z3/benchmarks/polysynth/linear/friction.c.smt2.json,217.0,,,./PolyQEnt experiments/benchmarks/polysynth/linear/friction.c.smt2 experiments/configs-h12/z3/benchmarks/polysynth/linear/friction.c.smt2.json,214.0,./solver/z3 -smt2 experiments/benchmarks/polysynth/linear/friction.c.smt2,35.0,,
illinois.c.smt2,./PolyQEnt experiments/benchmarks/polysynth/linear/illinois.c.smt2 experiments/configs-base/mathsat/benchmarks/polysynth/linear/illinois.c.smt2.json,1198.0,./PolyQEnt experiments/benchmarks/polysynth/linear/illinois.c.smt2 experiments/configs-base/z3/benchmarks/polysynth/linear/illinois.c.smt2.json,1238.0,./PolyQEnt experiments/benchmarks/polysynth/linear/illinois.c.smt2 experiments/configs-h1/mathsat/benchmarks/polysynth/linear/illinois.c.smt2.json,724.0,./PolyQEnt experiments/benchmarks/polysynth/linear/illinois.c.smt2 experiments/configs-h1/z3/benchmarks/polysynth/linear/illinois.c.smt2.json,764.0,./PolyQEnt experiments/benchmarks/polysynth/linear/illinois.c.smt2 experiments/configs-h2/mathsat/benchmarks/polysynth/linear/illinois.c.smt2.json,3245.0,./PolyQEnt experiments/benchmarks/polysynth/linear/illinois.c.smt2 experiments/configs-h2/z3/benchmarks/polysynth/linear/illinois.c.smt2.json,3193.0,./PolyQEnt experiments/benchmarks/polysynth/linear/illinois.c.smt2 experiments/configs-h12/mathsat/benchmarks/polysynth/linear/illinois.c.smt2.json,1251.0,./PolyQEnt experiments/benchmarks/polysynth/linear/illinois.c.smt2 experiments/configs-h12/z3/benchmarks/polysynth/linear/illinois.c.smt2.json,1320.0,./solver/z3 -smt2 experiments/benchmarks/polysynth/linear/illinois.c.smt2,130.0,,
lcm1.c.smt2,./PolyQEnt experiments/benchmarks/polysynth/poly/lcm1.c.smt2 experiments/configs-base/mathsat/benchmarks/polysynth/poly/lcm1.c.smt2.json,337.0,./PolyQEnt experiments/benchmarks/polysynth/poly/lcm1.c.smt2 experiments/configs-base/z3/benchmarks/polysynth/poly/lcm1.c.smt2.json,351.0,./PolyQEnt experiments/benchmarks/polysynth/linear/lcm1.c.smt2 experiments/configs-h1/mathsat/benchmarks/polysynth/linear/lcm1.c.smt2.json,265.0,./PolyQEnt experiments/benchmarks/polysynth/linear/lcm1.c.smt2 experiments/configs-h1/z3/benchmarks/polysynth/linear/lcm1.c.smt2.json,278.0,./PolyQEnt experiments/benchmarks/polysynth/linear/lcm1.c.smt2 experiments/configs-h2/mathsat/benchmarks/polysynth/linear/lcm1.c.smt2.json,403.0,./PolyQEnt experiments/benchmarks/polysynth/poly/lcm1.c.smt2 experiments/configs-h2/z3/benchmarks/polysynth/poly/lcm1.c.smt2.json,459.0,./PolyQEnt experiments/benchmarks/polysynth/linear/lcm1.c.smt2 experiments/configs-h12/mathsat/benchmarks/polysynth/linear/lcm1.c.smt2.json,331.0,./PolyQEnt experiments/benchmarks/polysynth/linear/lcm1.c.smt2 experiments/configs-h12/z3/benchmarks/polysynth/linear/lcm1.c.smt2.json,409.0,./solver/z3 -smt2 experiments/benchmarks/polysynth/poly/lcm1.c.smt2,147888.0,,
mannadiv_Carre.c.smt2,./PolyQEnt experiments/benchmarks/polysynth/linear/mannadiv_Carre.c.smt2 experiments/configs-base/mathsat/benchmarks/polysynth/linear/mannadiv_Carre.c.smt2.json,239.0,./PolyQEnt experiments/benchmarks/polysynth/linear/mannadiv_Carre.c.smt2 experiments/configs-base/z3/benchmarks/polysynth/linear/mannadiv_Carre.c.smt2.json,240.0,./PolyQEnt experiments/benchmarks/polysynth/linear/mannadiv_Carre.c.smt2 experiments/configs-h1/mathsat/benchmarks/polysynth/linear/mannadiv_Carre.c.smt2.json,206.0,./PolyQEnt experiments/benchmarks/polysynth/linear/mannadiv_Carre.c.smt2 experiments/configs-h1/z3/benchmarks/polysynth/linear/mannadiv_Carre.c.smt2.json,248.0,./PolyQEnt experiments/benchmarks/polysynth/linear/mannadiv_Carre.c.smt2 experiments/configs-h2/mathsat/benchmarks/polysynth/linear/mannadiv_Carre.c.smt2.json,265.0,./PolyQEnt experiments/benchmarks/polysynth/linear/mannadiv_Carre.c.smt2 experiments/configs-h2/z3/benchmarks/polysynth/linear/mannadiv_Carre.c.smt2.json,303.0,./PolyQEnt experiments/benchmarks/polysynth/linear/mannadiv_Carre.c.smt2 experiments/configs-h12/mathsat/benchmarks/polysynth/linear/mannadiv_Carre.c.smt2.json,321.0,./PolyQEnt experiments/benchmarks/polysynth/linear/mannadiv_Carre.c.smt2 experiments/configs-h12/z3/benchmarks/polysynth/linear/mannadiv_Carre.c.smt2.json,275.0,./solver/z3 -smt2 experiments/benchmarks/polysynth/poly/mannadiv_Carre.c.smt2,30.0,,
mannadiv_Cube.c.smt2,./PolyQEnt experiments/benchmarks/polysynth/linear/mannadiv_Cube.c.smt2 experiments/configs-base/mathsat/benchmarks/polysynth/linear/mannadiv_Cube.c.smt2.json,263.0,./PolyQEnt experiments/benchmarks/polysynth/linear/mannadiv_Cube.c.smt2 experiments/configs-base/z3/benchmarks/polysynth/linear/mannadiv_Cube.c.smt2.json,243.0,./PolyQEnt experiments/benchmarks/polysynth/linear/mannadiv_Cube.c.smt2 experiments/configs-h1/mathsat/benchmarks/polysynth/linear/mannadiv_Cube.c.smt2.json,224.0,./PolyQEnt experiments/benchmarks/polysynth/linear/mannadiv_Cube.c.smt2 experiments/configs-h1/z3/benchmarks/polysynth/linear/mannadiv_Cube.c.smt2.json,258.0,./PolyQEnt experiments/benchmarks/polysynth/linear/mannadiv_Cube.c.smt2 experiments/configs-h2/mathsat/benchmarks/polysynth/linear/mannadiv_Cube.c.smt2.json,262.0,./PolyQEnt experiments/benchmarks/polysynth/linear/mannadiv_Cube.c.smt2 experiments/configs-h2/z3/benchmarks/polysynth/linear/mannadiv_Cube.c.smt2.json,337.0,./PolyQEnt experiments/benchmarks/polysynth/linear/mannadiv_Cube.c.smt2 experiments/configs-h12/mathsat/benchmarks/polysynth/linear/mannadiv_Cube.c.smt2.json,321.0,./PolyQEnt experiments/benchmarks/polysynth/linear/mannadiv_Cube.c.smt2 experiments/configs-h12/z3/benchmarks/polysynth/linear/mannadiv_Cube.c.smt2.json,304.0,./solver/z3 -smt2 experiments/benchmarks/polysynth/poly/mannadiv_Cube.c.smt2,26.0,,
mannadiv_ind.c.smt2,./PolyQEnt experiments/benchmarks/polysynth/linear/mannadiv_ind.c.smt2 experiments/configs-base/mathsat/benchmarks/polysynth/linear/mannadiv_ind.c.smt2.json,273.0,./PolyQEnt experiments/benchmarks/polysynth/linear/mannadiv_ind.c.smt2 experiments/configs-base/z3/benchmarks/polysynth/linear/mannadiv_ind.c.smt2.json,244.0,./PolyQEnt experiments/benchmarks/polysynth/linear/mannadiv_ind.c.smt2 experiments/configs-h1/mathsat/benchmarks/polysynth/linear/mannadiv_ind.c.smt2.json,250.0,./PolyQEnt experiments/benchmarks/polysynth/linear/mannadiv_ind.c.smt2 experiments/configs-h1/z3/benchmarks/polysynth/linear/mannadiv_ind.c.smt2.json,243.0,./PolyQEnt experiments/benchmarks/polysynth/linear/mannadiv_ind.c.smt2 experiments/configs-h2/mathsat/benchmarks/polysynth/linear/mannadiv_ind.c.smt2.json,379.0,./PolyQEnt experiments/benchmarks/polysynth/linear/mannadiv_ind.c.smt2 experiments/configs-h2/z3/benchmarks/polysynth/linear/mannadiv_ind.c.smt2.json,292.0,./PolyQEnt experiments/benchmarks/polysynth/linear/mannadiv_ind.c.smt2 experiments/configs-h12/mathsat/benchmarks/polysynth/linear/mannadiv_ind.c.smt2.json,250.0,./PolyQEnt experiments/benchmarks/polysynth/linear/mannadiv_ind.c.smt2 experiments/configs-h12/z3/benchmarks/polysynth/linear/mannadiv_ind.c.smt2.json,263.0,./solver/z3 -smt2 experiments/benchmarks/polysynth/linear/mannadiv_ind.c.smt2,19.0,,
mesi.c.smt2,./PolyQEnt experiments/benchmarks/polysynth/linear/mesi.c.smt2 experiments/configs-base/mathsat/benchmarks/polysynth/linear/mesi.c.smt2.json,590.0,./PolyQEnt experiments/benchmarks/polysynth/linear/mesi.c.smt2 experiments/configs-base/z3/benchmarks/polysynth/linear/mesi.c.smt2.json,562.0,./PolyQEnt experiments/benchmarks/polysynth/linear/mesi.c.smt2 experiments/configs-h1/mathsat/benchmarks/polysynth/linear/mesi.c.smt2.json,417.0,./PolyQEnt experiments/benchmarks/polysynth/linear/mesi.c.smt2 experiments/configs-h1/z3/benchmarks/polysynth/linear/mesi.c.smt2.json,455.0,./PolyQEnt experiments/benchmarks/polysynth/linear/mesi.c.smt2 experiments/configs-h2/mathsat/benchmarks/polysynth/linear/mesi.c.smt2.json,1260.0,./PolyQEnt experiments/benchmarks/polysynth/linear/mesi.c.smt2 experiments/configs-h2/z3/benchmarks/polysynth/linear/mesi.c.smt2.json,1214.0,./PolyQEnt experiments/benchmarks/polysynth/linear/mesi.c.smt2 experiments/configs-h12/mathsat/benchmarks/polysynth/linear/mesi.c.smt2.json,635.0,./PolyQEnt experiments/benchmarks/polysynth/linear/mesi.c.smt2 experiments/configs-h12/z3/benchmarks/polysynth/linear/mesi.c.smt2.json,783.0,./solver/z3 -smt2 experiments/benchmarks/polysynth/poly/mesi.c.smt2,191.0,,
moesi.c.smt2,./PolyQEnt experiments/benchmarks/polysynth/linear/moesi.c.smt2 experiments/configs-base/mathsat/benchmarks/polysynth/linear/moesi.c.smt2.json,895.0,./PolyQEnt experiments/benchmarks/polysynth/linear/moesi.c.smt2 experiments/configs-base/z3/benchmarks/polysynth/linear/moesi.c.smt2.json,899.0,./PolyQEnt experiments/benchmarks/polysynth/linear/moesi.c.smt2 experiments/configs-h1/mathsat/benchmarks/polysynth/linear/moesi.c.smt2.json,638.0,./PolyQEnt experiments/benchmarks/polysynth/linear/moesi.c.smt2 experiments/configs-h1/z3/benchmarks/polysynth/linear/moesi.c.smt2.json,597.0,./PolyQEnt experiments/benchmarks/polysynth/linear/moesi.c.smt2 experiments/configs-h2/mathsat/benchmarks/polysynth/linear/moesi.c.smt2.json,2493.0,./PolyQEnt experiments/benchmarks/polysynth/linear/moesi.c.smt2 experiments/configs-h2/z3/benchmarks/polysynth/linear/moesi.c.smt2.json,2291.0,./PolyQEnt experiments/benchmarks/polysynth/linear/moesi.c.smt2 experiments/configs-h12/mathsat/benchmarks/polysynth/linear/moesi.c.smt2.json,1076.0,./PolyQEnt experiments/benchmarks/polysynth/linear/moesi.c.smt2 experiments/configs-h12/z3/benchmarks/polysynth/linear/moesi.c.smt2.json,1114.0,./solver/z3 -smt2 experiments/benchmarks/polysynth/poly/moesi.c.smt2,3443.0,,
petter10.c.smt2,./PolyQEnt experiments/benchmarks/polysynth/linear/petter10.c.smt2 experiments/configs-base/mathsat/benchmarks/polysynth/linear/petter10.c.smt2.json,77021.0,./PolyQEnt experiments/benchmarks/polysynth/linear/petter10.c.smt2 experiments/configs-base/z3/benchmarks/polysynth/linear/petter10.c.smt2.json,65960.0,./PolyQEnt experiments/benchmarks/polysynth/linear/petter10.c.smt2 experiments/configs-h1/mathsat/benchmarks/polysynth/linear/petter10.c.smt2.json,58510.0,./PolyQEnt experiments/benchmarks/polysynth/linear/petter10.c.smt2 experiments/configs-h1/z3/benchmarks/polysynth/linear/petter10.c.smt2.json,58833.0,./PolyQEnt experiments/benchmarks/polysynth/linear/petter10.c.smt2 experiments/configs-h2/mathsat/benchmarks/polysynth/linear/petter10.c.smt2.json,58730.0,./PolyQEnt experiments/benchmarks/polysynth/linear/petter10.c.smt2 experiments/configs-h2/z3/benchmarks/polysynth/linear/petter10.c.smt2.json,58476.0,./PolyQEnt experiments/benchmarks/polysynth/linear/petter10.c.smt2 experiments/configs-h12/mathsat/benchmarks/polysynth/linear/petter10.c.smt2.json,59307.0,./PolyQEnt experiments/benchmarks/polysynth/linear/petter10.c.smt2 experiments/configs-h12/z3/benchmarks/polysynth/linear/petter10.c.smt2.json,58891.0,,,,
petter3.c.smt2,./PolyQEnt experiments/benchmarks/polysynth/linear/petter3.c.smt2 experiments/configs-base/mathsat/benchmarks/polysynth/linear/petter3.c.smt2.json,227.0,./PolyQEnt experiments/benchmarks/polysynth/linear/petter3.c.smt2 experiments/configs-base/z3/benchmarks/polysynth/linear/petter3.c.smt2.json,234.0,./PolyQEnt experiments/benchmarks/polysynth/linear/petter3.c.smt2 experiments/configs-h1/mathsat/benchmarks/polysynth/linear/petter3.c.smt2.json,206.0,./PolyQEnt experiments/benchmarks/polysynth/linear/petter3.c.smt2 experiments/configs-h1/z3/benchmarks/polysynth/linear/petter3.c.smt2.json,215.0,./PolyQEnt experiments/benchmarks/polysynth/linear/petter3.c.smt2 experiments/configs-h2/mathsat/benchmarks/polysynth/linear/petter3.c.smt2.json,264.0,./PolyQEnt experiments/benchmarks/polysynth/linear/petter3.c.smt2 experiments/configs-h2/z3/benchmarks/polysynth/linear/petter3.c.smt2.json,369.0,./PolyQEnt experiments/benchmarks/polysynth/linear/petter3.c.smt2 experiments/configs-h12/mathsat/benchmarks/polysynth/linear/petter3.c.smt2.json,224.0,./PolyQEnt experiments/benchmarks/polysynth/linear/petter3.c.smt2 experiments/configs-h12/z3/benchmarks/polysynth/linear/petter3.c.smt2.json,271.0,./solver/z3 -smt2 experiments/benchmarks/polysynth/linear/petter3.c.smt2,568.0,,
